Iteration,Run-0,Run-1,Run-2,Run-3,Run-4,Run-5,Run-6,Run-7,Run-8,Run-9,Run-10,Run-11,Run-12,Run-13,Run-14,Run-15,Run-16,Run-17,Run-18,Run-19,Run-20,Run-21,Run-22,Run-23,Run-24,Run-25,Run-26,Run-27,Run-28,Run-29
41,16.0,19.0,19.0,16.0,19.0,19.0,19.0,19.0,17.0,17.0,16.0,19.0,19.0,19.0,16.0,19.0,19.0,18.0,18.0,18.0,19.0,19.0,19.0,19.0,19.0,17.0,20.0,19.0,18.0,17.0
42,16.0,20.0,20.0,16.0,19.0,20.0,20.0,19.0,17.0,17.0,16.0,19.0,20.0,20.0,16.0,19.0,20.0,18.0,18.0,18.0,20.0,19.0,20.0,20.0,19.0,17.0,20.0,19.0,18.0,17.0
43,16.0,20.0,20.0,16.0,20.0,20.0,20.0,19.0,17.0,17.0,16.0,19.0,20.0,20.0,16.0,20.0,20.0,18.0,18.0,18.0,20.0,20.0,20.0,20.0,19.0,17.0,21.0,19.0,18.0,17.0
44,16.0,21.0,20.0,16.0,20.0,21.0,21.0,19.0,17.0,17.0,16.0,19.0,21.0,21.0,16.0,20.0,21.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,21.0,19.0,18.0,17.0
45,16.0,21.0,20.0,16.0,21.0,21.0,21.0,19.0,17.0,17.0,16.0,19.0,21.0,21.0,16.0,20.0,21.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,22.0,19.0,18.0,17.0
46,16.0,21.0,20.0,16.0,21.0,22.0,22.0,19.0,17.0,17.0,16.0,19.0,22.0,22.0,16.0,20.0,22.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,22.0,19.0,18.0,17.0
47,16.0,21.0,20.0,16.0,22.0,22.0,22.0,19.0,17.0,17.0,16.0,19.0,22.0,22.0,16.0,20.0,22.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,23.0,19.0,18.0,17.0
48,16.0,21.0,20.0,16.0,22.0,23.0,23.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,23.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,23.0,19.0,18.0,17.0
49,16.0,21.0,20.0,16.0,23.0,23.0,23.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,23.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,24.0,19.0,18.0,17.0
50,16.0,21.0,20.0,16.0,23.0,23.0,24.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,24.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,24.0,19.0,18.0,17.0
51,16.0,21.0,20.0,16.0,23.0,23.0,24.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,24.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,25.0,19.0,18.0,17.0
52,16.0,21.0,20.0,16.0,23.0,23.0,25.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,25.0,19.0,18.0,17.0
53,16.0,21.0,20.0,16.0,23.0,23.0,25.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,26.0,19.0,18.0,17.0
54,16.0,21.0,20.0,16.0,23.0,23.0,26.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,26.0,19.0,18.0,17.0
55,16.0,21.0,20.0,16.0,23.0,23.0,26.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,27.0,19.0,18.0,17.0
56,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,27.0,19.0,18.0,17.0
57,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
58,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
59,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
60,16.0,21.0,20.0,16.0,23.0,23.0,27.0,19.0,17.0,17.0,16.0,19.0,23.0,23.0,16.0,20.0,25.0,18.0,18.0,18.0,20.0,20.0,20.0,21.0,19.0,17.0,28.0,19.0,18.0,17.0
